Date_graph,date1,civet1,civet2,hogbadger,ferretbadger
30-31/10/00,2000-10-30, 210.47120418848178, 211.6279069767442, 4.521963824289377, 70.54263565891473
12-13/11/00,2000-11-12, 300.7853403141362, 302.06718346253234,NA, 431.39534883720927
1-2/12/00,2000-12-01, 260.7329842931938, 261.3695090439277, 30.749354005167927, 335.52971576227384
16-17/12/00,2000-12-16, 170.41884816753935, 171.8346253229974, 66.02067183462536, 133.85012919896636
2-3/1/01,2001-01-02, 321.20418848167543, 321.96382428940564, 111.24031007751938, 521.8346253229973
14-15/2/01,2001-02-14, 61.256544502617864, 61.49870801033598, 25.32299741602073, 251.42118863049097
5-6/3/01,2001-03-05, 221.46596858638748, 221.5762273901809, 59.689922480620204, 301.1627906976744
23-24/3/01,2001-03-23, 110.7329842931938, 111.24031007751938, 60.594315245478036, 251.42118863049097
2-3/5/01,2001-05-02, 61.256544502617864, 61.49870801033598, 55.16795865633071, 90.43927648578814
12-13/6/01,2001-06-12, 120.15706806282732, 121.18863049095607, 100.38759689922483, 302.97157622739013
13-14/8/01,2001-08-13, 56.54450261780111, 56.07235142118866, 33.46253229974165, 131.13695090439276
17-18/9/01,2001-09-17, 150.00000000000006, 151.03359173126617, 71.44702842377257, 280.3617571059431
10-11/10/01,2001-10-10, 130.36649214659693, 132.04134366925058, 116.6666666666667, 230.62015503875966
6-7/11/01,2001-11-06, 551.3089005235603, 552.5839793281654, 602.3255813953488,NA
5-6/12/01,2001-12-05, 530.1047120418848, 531.7829457364342, 621.3178294573644,NA
11-12/1/02,2002-01-11, 315.70680628272254, 317.4418604651163, 130.23255813953494, 521.8346253229973
25-26/1/02,2002-01-25, 230.89005235602096, 230.62015503875966, 60.594315245478036, 200.77519379844966
8-9/2/02,2002-02-08, 230.89005235602096, 231.52454780361762, 121.18863049095607, 331.0077519379845
27-28/2/02,2002-02-27, 171.20418848167546, 171.8346253229974, 160.07751937984492, 231.52454780361762
15-16/3/02,2002-03-15, 71.4659685863875, 71.44702842377257, 80.49095607235144, 91.34366925064596
8-9/4/02,2002-04-08, 62.82722513089009, 63.30749354005163, 51.55038759689928, 151.03359173126617
2-3/5/02,2002-05-02, 330.628272251309, 331.9121447028424, 121.18863049095607, 400.6459948320413
10-11/6/02,2002-06-10, 120.94240837696341, 121.18863049095607, 61.49870801033598, 101.29198966408266
17-18/7/02,2002-07-17, 131.15183246073306, 132.04134366925058, 80.49095607235144, 30.749354005167927
26-27/8/02,2002-08-26, 340.0523560209425, 340.9560723514212, 210.72351421188623, 110.33591731266154
23-24/9/02,2002-09-23, 110.7329842931938, 111.24031007751938, 121.18863049095607, 111.24031007751938
10-11/10/02,2002-10-10, 150.7853403141362, 151.937984496124, 50.64599483204133, 90.43927648578814
31/10-1/11/02,2002-10-31, 321.20418848167543, 321.96382428940564, 221.5762273901809, 321.0594315245478
25-26/11/02,2002-11-25, 220.68062827225137, 221.5762273901809, 221.5762273901809, 211.6279069767442
13-14/12/02,2002-12-13, 40.83769633507862, 40.69767441860463, 100.38759689922483, 50.64599483204133
27-28/12/02,2002-12-27, 81.67539267015714, 81.39534883720926, 81.39534883720926, 110.33591731266154
13-14/1/03,2003-01-13, 80.89005235602102, 81.39534883720926, 11.757105943152478, 111.24031007751938
18-19/2/03,2003-02-18, 210.47120418848178, 211.6279069767442, 219.76744186046517, 321.0594315245478
6-7/3/03,2003-03-06, 141.36125654450268, 141.08527131782947, 141.08527131782947, 60.594315245478036
15-16/3/03,2003-03-15, 51.047120418848245, 51.55038759689928, 21.70542635658918, 20.801033591731226
